id,custom_name,lat,long
1,Yotta - NM1 (Yotta Datacenter Park),18.91347,73.19478
2,NTT (Netmagic) - GDC Mumbai 6,19.10915,72.89458
3,NTT (Netmagic) - GDC Mumbai 2,19.11454,72.92572
4,NTT (Netmagic) - Mumbai (Mahape),19.10930,73.02357
5,Equinix - MB2 Mumbai IBX,19.11588,72.85420
6,Sify - Mumbai 02 Airoli,19.15851,72.99940
7,Sify - Mumbai 03 Rabale,19.13664,73.00278
8,STT GDC India - STT Pune DC 1,18.59275,73.73822
9,Nxtra by Airtel - Nxtra Pune,18.55128,73.94166
10,Web Werks - Web Werks Pune,18.58107,73.74056
11,ESDS - ESDS Nashik DC,20.00448,73.73754
