id,custom_name,lat,long
1,Yotta - NM1 (Yotta Datacenter Park),18.91347,73.19478
2,NTT (Netmagic) - GDC Mumbai 6,19.10915,72.89458
3,NTT (Netmagic) - GDC Mumbai 2,19.11454,72.92572
4,NTT (Netmagic) - Mumbai (Mahape),19.10930,73.02357
5,Equinix - MB2 Mumbai IBX,19.11588,72.85420
6,Sify - Mumbai 02 Airoli,19.15851,72.99940
7,Sify - Mumbai 03 Rabale,19.13664,73.00278
8,STT GDC India - STT Pune DC 1,18.59275,73.73822
9,Nxtra by Airtel - Nxtra Pune,18.55128,73.94166
10,Web Werks - Web Werks Pune,18.58107,73.74056
11,ESDS - ESDS Nashik DC,20.00448,73.73754
12,"Ambattur Industrial Estate - STT GDC India, CtrlS",13.09524,80.16717
13,"SIPCOT IT Park, Siruseri - STT GDC India, Sify, AdaniConneX",12.82358,80.22215
14,NTT (Netmagic) - NTT Bengaluru 1,12.98772,77.73692
15,"Electronic City Phase 1 - Sify, CtrlS",12.84968,77.66497
16,CtrlS - Hyderabad DC 1,17.41997,78.32869
17,AWS - Chandanvelly campus (HYD),17.23062,78.17098
18,Sify - Hyderabad 01,17.41775,78.43990
19,Yotta - D1 Greater Noida,28.46707,77.51376
20,Sify - Noida 01,28.51171,77.37678
21,CtrlS - Noida DC,28.47117,77.53157
22,Nxtra by Airtel - Nxtra Manesar,28.36719,76.92067
23,STT GDC India - STT Kolkata DC 1,22.59613,88.38528
24,Nxtra by Airtel - Nxtra Bhubaneswar,20.36045,85.82477
25,STT GDC India - STT Jaipur 1,26.78275,75.83795
26,STT GDC India - STT Gandhinagar (GIFT City),23.16291,72.68870
