ruler_a,ruler_b,state,district,district_key,scenario,period,disagreement_rank,composite_a,composite_b,composite_delta,composite_rank_a,composite_rank_b,metric_slug,raw_value,metric_score_a,metric_score_b,metric_score_delta,weight,frame
linear,cdf,Uttar Pradesh,Bijnor,uttar pradesh|bijnor,ssp245,2020-2040,1,49.782124487020376,29.694940476190485,-20.08718401082989,507.0,551.0,hwa_heatwave_amplitude,36.73804840841763,73.06679517682605,34.083454810495624,-38.983340366330424,0.08333333333333333,absolute_threshold
linear,cdf,Uttar Pradesh,Bijnor,uttar pradesh|bijnor,ssp245,2020-2040,1,49.782124487020376,29.694940476190485,-20.08718401082989,507.0,551.0,tn90p_warm_nights_pct,23.032515038925386,18.07270642791596,18.066690962099127,-0.006015465816833654,0.08333333333333333,baseline_referenced
linear,cdf,Uttar Pradesh,Bijnor,uttar pradesh|bijnor,ssp245,2020-2040,1,49.782124487020376,29.694940476190485,-20.08718401082989,507.0,551.0,txx_annual_max,43.57373257636039,78.20415627780328,49.51712827988338,-28.6870279979199,0.08333333333333333,absolute_threshold
linear,cdf,Uttar Pradesh,Bijnor,uttar pradesh|bijnor,ssp245,2020-2040,1,49.782124487020376,29.694940476190485,-20.08718401082989,507.0,551.0,hwfi_events_tmean_90p,4.759016391158723,28.263269667484625,22.075437317784257,-6.187832349700368,0.075,baseline_referenced
linear,cdf,Uttar Pradesh,Bijnor,uttar pradesh|bijnor,ssp245,2020-2040,1,49.782124487020376,29.694940476190485,-20.08718401082989,507.0,551.0,hwfi_tmean_90p,48.86327098891845,13.397628936992353,17.137390670553938,3.7397617335615845,0.075,baseline_referenced
linear,cdf,Uttar Pradesh,Bijnor,uttar pradesh|bijnor,ssp245,2020-2040,1,49.782124487020376,29.694940476190485,-20.08718401082989,507.0,551.0,tas_annual_mean,25.097364632959707,75.59665839507413,21.018586005830905,-54.578072389243225,0.06666666666666667,absolute_threshold
linear,cdf,Uttar Pradesh,Bijnor,uttar pradesh|bijnor,ssp245,2020-2040,1,49.782124487020376,29.694940476190485,-20.08718401082989,507.0,551.0,tas_summer_mean,27.735870809674015,74.3721286666775,25.82908163265306,-48.54304703402444,0.06666666666666667,absolute_threshold
linear,cdf,Uttar Pradesh,Bijnor,uttar pradesh|bijnor,ssp245,2020-2040,1,49.782124487020376,29.694940476190485,-20.08718401082989,507.0,551.0,tasmax_summer_mean,35.22542310542117,76.81620168887386,34.53899416909621,-42.27720751977765,0.06666666666666667,absolute_threshold
linear,cdf,Uttar Pradesh,Bijnor,uttar pradesh|bijnor,ssp245,2020-2040,1,49.782124487020376,29.694940476190485,-20.08718401082989,507.0,551.0,tasmin_tropical_nights_gt25,100.05364351806656,39.553434686229814,37.29045189504373,-2.262982791186083,0.06666666666666667,absolute_threshold
linear,cdf,Uttar Pradesh,Bijnor,uttar pradesh|bijnor,ssp245,2020-2040,1,49.782124487020376,29.694940476190485,-20.08718401082989,507.0,551.0,tnx_annual_max,30.259404780028664,74.59622165275462,43.012026239067055,-31.584195413687567,0.06666666666666667,absolute_threshold
linear,cdf,Uttar Pradesh,Bijnor,uttar pradesh|bijnor,ssp245,2020-2040,1,49.782124487020376,29.694940476190485,-20.08718401082989,507.0,551.0,tx90p_hot_days_pct,20.648646498767846,17.813862103743826,19.39686588921283,1.5830037854690033,0.06666666666666667,baseline_referenced
linear,cdf,Uttar Pradesh,Bijnor,uttar pradesh|bijnor,ssp245,2020-2040,1,49.782124487020376,29.694940476190485,-20.08718401082989,507.0,551.0,txge30_hot_days,227.16238390832154,64.36252722914159,28.908527696793,-35.45399953234859,0.06666666666666667,absolute_threshold
linear,cdf,Uttar Pradesh,Bijnor,uttar pradesh|bijnor,ssp245,2020-2040,1,49.782124487020376,29.694940476190485,-20.08718401082989,507.0,551.0,txge35_extreme_heat_days,96.3699630795924,47.49046692561975,41.37208454810496,-6.118382377514791,0.06666666666666667,absolute_threshold
linear,cdf,Uttar Pradesh,Bijnor,uttar pradesh|bijnor,ssp245,2020-2040,1,49.782124487020376,29.694940476190485,-20.08718401082989,507.0,551.0,wsdi_warm_spell_days,45.90424414685306,17.582282673972223,22.858965014577258,5.276682340605035,0.06666666666666667,baseline_referenced
linear,cdf,Uttarakhand,Udam Singh Nagar,uttarakhand|udam singh nagar,ssp245,2020-2040,2,50.40798788980342,30.549684159378042,-19.85830373042538,488.0,542.0,hwa_heatwave_amplitude,37.321426902833984,75.52076562291765,38.72995626822158,-36.79080935469607,0.08333333333333333,absolute_threshold
linear,cdf,Uttarakhand,Udam Singh Nagar,uttarakhand|udam singh nagar,ssp245,2020-2040,2,50.40798788980342,30.549684159378042,-19.85830373042538,488.0,542.0,tn90p_warm_nights_pct,23.34700515828384,18.516890867080697,19.232871720116616,0.7159808530359193,0.08333333333333333,baseline_referenced
linear,cdf,Uttarakhand,Udam Singh Nagar,uttarakhand|udam singh nagar,ssp245,2020-2040,2,50.40798788980342,30.549684159378042,-19.85830373042538,488.0,542.0,txx_annual_max,43.74932911942015,78.96053809968944,50.95663265306123,-28.003905446628217,0.08333333333333333,absolute_threshold
linear,cdf,Uttarakhand,Udam Singh Nagar,uttarakhand|udam singh nagar,ssp245,2020-2040,2,50.40798788980342,30.549684159378042,-19.85830373042538,488.0,542.0,hwfi_events_tmean_90p,4.5874763784329,26.720445647135932,19.214650145772595,-7.5057955013633375,0.075,baseline_referenced
linear,cdf,Uttarakhand,Udam Singh Nagar,uttarakhand|udam singh nagar,ssp245,2020-2040,2,50.40798788980342,30.549684159378042,-19.85830373042538,488.0,542.0,hwfi_tmean_90p,48.53840307530772,13.277296955608904,16.955174927113703,3.677877971504799,0.075,baseline_referenced
linear,cdf,Uttarakhand,Udam Singh Nagar,uttarakhand|udam singh nagar,ssp245,2020-2040,2,50.40798788980342,30.549684159378042,-19.85830373042538,488.0,542.0,tas_annual_mean,25.510229898901986,77.42524316377258,24.681122448979593,-52.744120714792984,0.06666666666666667,absolute_threshold
linear,cdf,Uttarakhand,Udam Singh Nagar,uttarakhand|udam singh nagar,ssp245,2020-2040,2,50.40798788980342,30.549684159378042,-19.85830373042538,488.0,542.0,tas_summer_mean,28.122150267127868,75.81833118350217,28.434766763848398,-47.383564419653766,0.06666666666666667,absolute_threshold
