ruler,state,district,district_key,scenario,period,composite,weight_coverage,composite_gated,clamped_metric_count,composite_baseline_referenced,coverage_baseline_referenced,composite_absolute_threshold,coverage_absolute_threshold,score__tas_annual_mean,score__tasmax_summer_mean,score__tas_summer_mean,score__txx_annual_max,score__tn90p_warm_nights_pct,score__hwa_heatwave_amplitude,score__txge30_hot_days,score__txge35_extreme_heat_days,score__tasmin_tropical_nights_gt25,score__hwfi_tmean_90p,score__hwfi_events_tmean_90p,score__wsdi_warm_spell_days,score__tnx_annual_max,score__tx90p_hot_days_pct
linear,Andaman & Nicobar Islands,Nicobars,andaman nicobar islands|nicobars,historical,1990-2010,25.90223116375351,1.0,25.90223116375351,2,0.7387314397047894,1.0,40.47057310925539,1.0000000000000004,80.09006787632137,50.792401481404504,70.33271255568215,15.150631016594337,0.23503236768847804,38.25496598742988,0.0,0.0,58.184958866045854,1.226104943228624,0.4345568481089734,1.7094156188117784,58.313307503442076,0.19157232469916857
linear,Andaman & Nicobar Islands,Nicobars,andaman nicobar islands|nicobars,ssp245,2020-2040,51.21318590246158,1.0,51.21318590246158,1,64.04698474033152,1.0,43.783091838431595,1.0000000000000004,82.60574907513936,53.03900023280947,72.51470390802824,17.831336444061115,54.22213887087756,40.14519522019409,2.080631771876468,0.0,72.57051385683353,52.69370468160105,70.57310868285938,70.45464733426746,60.65810904009406,75.35093011394093
linear,Andaman & Nicobar Islands,Nicobars,andaman nicobar islands|nicobars,ssp245,2040-2060,63.27823958368624,1.0,63.27823958368624,3,90.58650122259796,1.0,47.46819337168472,1.0000000000000004,84.60357404482714,54.63596093445474,74.21232197349315,19.88024396368435,89.42930322394885,42.57738058429152,7.087710404455867,0.0,89.50935308037768,92.54460040381333,73.1790686578335,100.0,62.82688590842643,100.0
linear,Andaman & Nicobar Islands,Nicobars,andaman nicobar islands|nicobars,ssp245,2060-2080,64.72223705381698,1.0,64.72223705381698,6,89.34814147804242,1.0,50.46513449242329,1.0000000000000004,86.27604860667815,55.9638860295687,75.62098134659142,21.52064755526799,100.0,44.74375071554227,14.113183907207478,0.0,100.0,100.0,47.92424722598514,100.0,64.61417994946267,100.0
linear,Andaman & Nicobar Islands,Nicobars,andaman nicobar islands|nicobars,ssp585,2020-2040,53.85108157512104,1.0,53.85108157512104,1,70.39982859925787,1.0,44.27022803483127,1.0000000000000004,82.90841017115065,53.200503660470005,72.67423199034604,18.077791741747383,60.461052952977624,40.38123785527325,2.589943634514481,0.0,75.23035357029626,59.27122950733644,73.14167377317364,79.44753851139919,60.889936307843826,83.21068640272327
linear,Andaman & Nicobar Islands,Nicobars,andaman nicobar islands|nicobars,ssp585,2040-2060,64.8216546350595,1.0,64.8216546350595,6,89.94125520599177,1.0,50.27872798873029,1.0000000000000004,86.10750132138982,55.77135508742822,75.42505334872497,21.321922205642043,100.0,44.56116404781219,13.544835403033785,0.0,100.0,100.0,50.82391434040415,100.0,64.4453129155431,100.0
linear,Andaman & Nicobar Islands,Nicobars,andaman nicobar islands|nicobars,ssp585,2060-2080,64.70884909518206,1.0,64.70884909518206,6,81.08565724444182,1.0,55.22753911403166,1.0000000000000004,89.78546912635123,58.7562597360529,78.57843701253772,25.13057985998233,100.0,49.33510185589394,36.046003711131114,0.0,100.0,100.0,7.529879861715527,100.0,68.41334985238241,100.0
linear,Andaman & Nicobar Islands,North and Middle Andaman,andaman nicobar islands|north and middle andaman,historical,1990-2010,27.067087142252802,1.0,27.067087142252802,1,1.4136485539584707,1.0,41.919077903896884,1.0000000000000004,80.32707652282252,52.58965552532092,71.53504979771346,18.883374118431224,0.21939076663105028,40.45061280002209,0.3555415448647903,0.0,58.84701051873996,1.9572527087476763,2.263817791392322,2.642936040277206,60.409422529492076,0.1091882355480721
linear,Andaman & Nicobar Islands,North and Middle Andaman,andaman nicobar islands|north and middle andaman,ssp245,2020-2040,48.16058781181697,1.0,48.16058781181697,1,50.601554316422444,1.0,46.74739667757168,1.0000000000000004,82.67469515880336,54.74011085262473,73.53978250540189,21.460600356283543,41.09107250727803,42.33067958237519,3.5251043520789924,0.0,87.24720732310911,40.5790470138555,61.49162484350524,54.56963203099915,62.63426832158945,57.54557023569593
linear,Andaman & Nicobar Islands,North and Middle Andaman,andaman nicobar islands|north and middle andaman,ssp245,2040-2060,62.6818094203806,1.0,62.6818094203806,4,84.41954682916989,1.0,50.09680355213418,1.0000000000000004,84.7230597862918,56.47594659687918,75.41286399020557,23.550030339889982,75.32302207141468,44.90747576956481,8.927548299291317,0.0,100.0,77.72693047754859,73.52082949682114,100.0,64.80833243578832,100.0
linear,Andaman & Nicobar Islands,North and Middle Andaman,andaman nicobar islands|north and middle andaman,ssp245,2060-2080,66.12082831087336,1.0,66.12082831087336,5,90.61264350866972,1.0,51.94135635425441,1.0000000000000004,86.40947580523105,57.787961202234484,76.8167216873517,25.232459476621106,94.69904920093197,46.910464510698084,15.62282517156535,0.0,100.0,100.0,59.996202485794186,100.0,66.62724651488529,100.0
linear,Andaman & Nicobar Islands,North and Middle Andaman,andaman nicobar islands|north and middle andaman,ssp585,2020-2040,50.1245602431883,1.0,50.1245602431883,1,55.133694410417384,1.0,47.224535199003014,1.0000000000000004,82.8999279029205,54.813954574932694,73.62287268403504,21.55641256850255,45.58765419833946,42.62802596123129,3.9887244824314734,0.0,90.31422702296783,45.23957761687708,62.29296612390339,61.361852535051376,62.76282956107383,63.91478726594185
linear,Andaman & Nicobar Islands,North and Middle Andaman,andaman nicobar islands|north and middle andaman,ssp585,2040-2060,65.3164421314407,1.0,65.3164421314407,4,88.91629828893218,1.0,51.65336751394562,1.0000000000000004,86.20231663073534,57.52053037562743,76.52870290790821,24.888727255157956,90.8224749867403,46.63138540855131,14.747924874841889,0.0,100.0,96.85913036178694,59.15113350994781,100.0,66.30737576373383,100.0
linear,Andaman & Nicobar Islands,North and Middle Andaman,andaman nicobar islands|north and middle andaman,ssp585,2060-2080,66.58913783943083,1.0,66.58913783943083,6,83.26027200893142,1.0,56.93742858340418,1.0000000000000004,90.01065211418897,60.76044319164139,79.97621977913143,28.835881622369836,100.0,52.03465637692448,38.48745538685573,0.0,100.0,100.0,18.161329821442493,100.0,70.58262857140416,100.0
linear,Andaman & Nicobar Islands,South Andamans,andaman nicobar islands|south andamans,historical,1990-2010,24.1838060501737,1.0,24.1838060501737,2,1.3296930562765457,1.0,37.41513462558784,1.0000000000000004,76.00880222025486,48.52118123368501,67.42961716303381,13.306321524159857,0.22594191384458226,35.75252458397046,0.0,0.0,46.61452845377147,1.8516197829075558,1.9306119568510425,2.6404410747524087,55.546092237176374,0.1354326352344413
linear,Andaman & Nicobar Islands,South Andamans,andaman nicobar islands|south andamans,ssp245,2020-2040,44.824070799332176,1.0,44.824070799332176,1,53.289168672655734,1.0,39.923224662144854,1.0000000000000004,78.37856938881752,50.69446389460705,69.46119282230023,15.910634123960044,43.76772533784189,37.484139930190494,1.2618799869315322,0.0,55.01187967822942,43.17351948888298,61.64359024348701,58.62161339022585,57.71918095180219,61.83990918816205
linear,Andaman & Nicobar Islands,South Andamans,andaman nicobar islands|south andamans,ssp245,2040-2060,58.52526925126764,1.0,58.52526925126764,3,85.47494980878874,1.0,42.92282261270278,1.0000000000000004,80.41036374641295,52.39627417986432,71.29190643659709,17.999340196153938,78.12054003809908,40.06064698930425,4.224351098635572,0.0,66.95393336339812,80.99226083549952,72.30689374291303,100.0,59.91500201394565,100.0
linear,Andaman & Nicobar Islands,South Andamans,andaman nicobar islands|south andamans,ssp245,2060-2080,62.07791570302885,1.0,62.07791570302885,4,90.457051872187,1.0,45.64788949983203,1.0000000000000004,82.09217934610922,53.717627148094756,72.69850860741285,19.73826685868475,97.24031242204151,42.21579032104531,8.445950282076662,0.0,77.49036250794042,100.0,56.41190646175691,100.0,61.76775088210778,100.0
linear,Andaman & Nicobar Islands,South Andamans,andaman nicobar islands|south andamans,ssp585,2020-2040,46.842522619927834,1.0,46.842522619927834,1,58.28590099530641,1.0,40.217408823656015,1.0000000000000004,78.62163174192195,50.7927257388762,69.56460358061963,16.064541741249236,48.47042064304926,37.73302298079973,1.4996325475591314,0.0,56.42096888336361,48.16543657961036,63.34794885943622,66.02637094255769,57.91886542983041,68.50550010888863
linear,Andaman & Nicobar Islands,South Andamans,andaman nicobar islands|south andamans,ssp585,2040-2060,61.54056573452295,1.0,61.54056573452295,4,89.57426761156192,1.0,45.31052780571092,1.0000000000000004,81.90971630653397,53.49928133732304,72.46016740719419,19.386456703327642,93.65294312788984,41.98112342689655,8.06541258209275,0.0,76.3328599592555,100.0,56.082038181091676,100.0,61.47310139907401,100.0
linear,Andaman & Nicobar Islands,South Andamans,andaman nicobar islands|south andamans,ssp585,2060-2080,63.179710057093374,1.0,63.179710057093374,5,82.60209071763234,1.0,51.9351738852024,1.0000000000000004,85.6806018271715,56.66331472226877,75.82576112097746,23.365357873125678,100.0,47.14833665867482,23.18550359879644,0.0,98.18734675441584,100.0,14.94355461953577,100.0,65.69950572104213,100.0
linear,Andhra Pradesh,Alluri Sitharama Raju,andhra pradesh|alluri sitharama raju,historical,1990-2010,37.28022525214889,1.0,37.28022525214889,0,1.1730130534229857,1.0,58.18440073562177,1.0000000000000004,78.58789842410525,72.70513601340579,77.48480421817536,58.82651238632909,0.10314530404335824,66.57968855773336,51.98117627481419,23.605779752684278,26.014668156087566,0.7712125023632667,3.5700935570819023,1.365520598250731,65.61459296905633,0.0731502486456774
