district_key,state,district,n_slices_with_any_metric,has_master_row,status
andaman nicobar islands|nicobars,Andaman & Nicobar Islands,Nicobars,7,True,roster_and_master
andaman nicobar islands|north and middle andaman,Andaman & Nicobar Islands,North and Middle Andaman,7,True,roster_and_master
andaman nicobar islands|south andamans,Andaman & Nicobar Islands,South Andamans,7,True,roster_and_master
andhra pradesh|alluri sitharama raju,Andhra Pradesh,Alluri Sitharama Raju,7,True,roster_and_master
andhra pradesh|anakapalli,Andhra Pradesh,Anakapalli,7,True,roster_and_master
andhra pradesh|anantapur,Andhra Pradesh,Anantapur,7,True,roster_and_master
andhra pradesh|annamayya,Andhra Pradesh,Annamayya,7,True,roster_and_master
andhra pradesh|bapatla,Andhra Pradesh,Bapatla,7,True,roster_and_master
andhra pradesh|chittoor,Andhra Pradesh,Chittoor,7,True,roster_and_master
andhra pradesh|east godavari,Andhra Pradesh,East Godavari,7,True,roster_and_master
andhra pradesh|eluru,Andhra Pradesh,Eluru,7,True,roster_and_master
andhra pradesh|guntur,Andhra Pradesh,Guntur,7,True,roster_and_master
andhra pradesh|kakinada,Andhra Pradesh,Kakinada,7,True,roster_and_master
andhra pradesh|konaseema,Andhra Pradesh,Konaseema,7,True,roster_and_master
andhra pradesh|krishna,Andhra Pradesh,Krishna,7,True,roster_and_master
andhra pradesh|kurnool,Andhra Pradesh,Kurnool,7,True,roster_and_master
andhra pradesh|nandyal,Andhra Pradesh,Nandyal,7,True,roster_and_master
andhra pradesh|ntr,Andhra Pradesh,Ntr,7,True,roster_and_master
andhra pradesh|palnadu,Andhra Pradesh,Palnadu,7,True,roster_and_master
andhra pradesh|parvathipuram manyam,Andhra Pradesh,Parvathipuram Manyam,7,True,roster_and_master
andhra pradesh|prakasam,Andhra Pradesh,Prakasam,7,True,roster_and_master
andhra pradesh|spsr nellore,Andhra Pradesh,Spsr Nellore,7,True,roster_and_master
andhra pradesh|sri sathya sai,Andhra Pradesh,Sri Sathya Sai,7,True,roster_and_master
andhra pradesh|srikakulam,Andhra Pradesh,Srikakulam,7,True,roster_and_master
andhra pradesh|tirupati,Andhra Pradesh,Tirupati,7,True,roster_and_master
andhra pradesh|visakhapatanam,Andhra Pradesh,Visakhapatanam,7,True,roster_and_master
andhra pradesh|vizianagaram,Andhra Pradesh,Vizianagaram,7,True,roster_and_master
andhra pradesh|west godavari,Andhra Pradesh,West Godavari,7,True,roster_and_master
andhra pradesh|ysr,Andhra Pradesh,Y.S.R.,7,True,roster_and_master
arunachal pradesh|anjaw,Arunachal Pradesh,Anjaw,7,True,roster_and_master
arunachal pradesh|changlang,Arunachal Pradesh,Changlang,7,True,roster_and_master
arunachal pradesh|dibang valley,Arunachal Pradesh,Dibang Valley,7,True,roster_and_master
arunachal pradesh|east kameng,Arunachal Pradesh,East Kameng,7,True,roster_and_master
arunachal pradesh|east siang,Arunachal Pradesh,East Siang,7,True,roster_and_master
arunachal pradesh|itanagar capital complex,Arunachal Pradesh,Itanagar Capital Complex,7,True,roster_and_master
arunachal pradesh|kamle,Arunachal Pradesh,Kamle,7,True,roster_and_master
arunachal pradesh|kra daadi,Arunachal Pradesh,Kra Daadi,7,True,roster_and_master
arunachal pradesh|kurung kumey,Arunachal Pradesh,Kurung Kumey,7,True,roster_and_master
arunachal pradesh|leparada,Arunachal Pradesh,Leparada,7,True,roster_and_master
arunachal pradesh|lohit,Arunachal Pradesh,Lohit,7,True,roster_and_master
arunachal pradesh|longding,Arunachal Pradesh,Longding,7,True,roster_and_master
arunachal pradesh|lower dibang valley,Arunachal Pradesh,Lower Dibang Valley,7,True,roster_and_master
arunachal pradesh|lower siang,Arunachal Pradesh,Lower Siang,7,True,roster_and_master
arunachal pradesh|lower subansiri,Arunachal Pradesh,Lower Subansiri,7,True,roster_and_master
arunachal pradesh|namsai,Arunachal Pradesh,Namsai,7,True,roster_and_master
arunachal pradesh|pakke kessang,Arunachal Pradesh,Pakke Kessang,7,True,roster_and_master
arunachal pradesh|papum pare,Arunachal Pradesh,Papum Pare,7,True,roster_and_master
arunachal pradesh|shi yomi,Arunachal Pradesh,Shi Yomi,7,True,roster_and_master
arunachal pradesh|siang,Arunachal Pradesh,Siang,7,True,roster_and_master
