ruler_a,ruler_b,state,district,district_key,scenario,period,score_a,score_b,delta,abs_delta,rank_a,rank_b,rank_delta
linear,cdf,Andaman & Nicobar Islands,Nicobars,andaman nicobar islands|nicobars,historical,1990-2010,25.90223116375351,15.343324829931976,-10.558906333821533,10.558906333821533,661.0,594.0,-67.0
linear,cdf,Andaman & Nicobar Islands,Nicobars,andaman nicobar islands|nicobars,ssp245,2020-2040,51.21318590246158,41.9415087463557,-9.27167715610588,9.27167715610588,463.0,298.0,-165.0
linear,cdf,Andaman & Nicobar Islands,Nicobars,andaman nicobar islands|nicobars,ssp245,2040-2060,63.27823958368624,50.017006802721106,-13.261232780965138,13.261232780965138,373.0,485.0,112.0
linear,cdf,Andaman & Nicobar Islands,Nicobars,andaman nicobar islands|nicobars,ssp245,2060-2080,64.72223705381698,49.53049076773568,-15.191746286081305,15.191746286081305,580.0,608.0,28.0
linear,cdf,Andaman & Nicobar Islands,Nicobars,andaman nicobar islands|nicobars,ssp585,2020-2040,53.85108157512104,44.36239674441206,-9.488684830708983,9.488684830708983,397.0,274.0,-123.0
linear,cdf,Andaman & Nicobar Islands,Nicobars,andaman nicobar islands|nicobars,ssp585,2040-2060,64.8216546350595,49.5798408649174,-15.241813770142102,15.241813770142102,557.0,594.0,37.0
linear,cdf,Andaman & Nicobar Islands,Nicobars,andaman nicobar islands|nicobars,ssp585,2060-2080,64.70884909518206,50.0949040330418,-14.61394506214026,14.61394506214026,681.0,662.0,-19.0
linear,cdf,Andaman & Nicobar Islands,North and Middle Andaman,andaman nicobar islands|north and middle andaman,historical,1990-2010,27.067087142252802,16.112882653061227,-10.954204489191575,10.954204489191575,648.0,584.0,-64.0
linear,cdf,Andaman & Nicobar Islands,North and Middle Andaman,andaman nicobar islands|north and middle andaman,ssp245,2020-2040,48.16058781181697,38.11315597667639,-10.047431835140578,10.047431835140578,539.0,395.0,-144.0
linear,cdf,Andaman & Nicobar Islands,North and Middle Andaman,andaman nicobar islands|north and middle andaman,ssp245,2040-2060,62.6818094203806,49.451075072886304,-13.230734347494298,13.230734347494298,423.0,494.0,71.0
linear,cdf,Andaman & Nicobar Islands,North and Middle Andaman,andaman nicobar islands|north and middle andaman,ssp245,2060-2080,66.12082831087336,51.11698250728865,-15.003845803584717,15.003845803584717,561.0,595.0,34.0
linear,cdf,Andaman & Nicobar Islands,North and Middle Andaman,andaman nicobar islands|north and middle andaman,ssp585,2020-2040,50.1245602431883,40.024143586005835,-10.100416657182464,10.100416657182464,519.0,421.0,-98.0
linear,cdf,Andaman & Nicobar Islands,North and Middle Andaman,andaman nicobar islands|north and middle andaman,ssp585,2040-2060,65.3164421314407,50.58430515063169,-14.732136980809003,14.732136980809003,546.0,586.0,40.0
linear,cdf,Andaman & Nicobar Islands,North and Middle Andaman,andaman nicobar islands|north and middle andaman,ssp585,2060-2080,66.58913783943083,51.014486151603506,-15.574651687827327,15.574651687827327,671.0,660.0,-11.0
linear,cdf,Andaman & Nicobar Islands,South Andamans,andaman nicobar islands|south andamans,historical,1990-2010,24.1838060501737,12.705600097181733,-11.478205952991967,11.478205952991967,669.0,627.0,-42.0
linear,cdf,Andaman & Nicobar Islands,South Andamans,andaman nicobar islands|south andamans,ssp245,2020-2040,44.824070799332176,34.515457968901856,-10.30861283043032,10.30861283043032,596.0,480.0,-116.0
linear,cdf,Andaman & Nicobar Islands,South Andamans,andaman nicobar islands|south andamans,ssp245,2040-2060,58.52526925126764,46.04500728862974,-12.480261962637897,12.480261962637897,548.0,531.0,-17.0
linear,cdf,Andaman & Nicobar Islands,South Andamans,andaman nicobar islands|south andamans,ssp245,2060-2080,62.07791570302885,47.460064382896014,-14.617851320132836,14.617851320132836,621.0,628.0,7.0
linear,cdf,Andaman & Nicobar Islands,South Andamans,andaman nicobar islands|south andamans,ssp585,2020-2040,46.842522619927834,36.69992103984451,-10.142601580083323,10.142601580083323,584.0,473.0,-111.0
