state,scenario,period,ruler,unweighted_mean,area_weighted_mean,delta_area_minus_unweighted,n_districts_scored,n_districts_with_area
Andaman & Nicobar Islands,historical,1990-2010,linear,25.717708118726673,25.859558704831535,0.14185058610486223,3,3
Andaman & Nicobar Islands,ssp245,2020-2040,linear,48.06594817120358,47.7721306752455,-0.2938174959580806,3,3
Andaman & Nicobar Islands,ssp245,2040-2060,linear,61.495106085111495,61.46276740337293,-0.032338681738565356,3,3
Andaman & Nicobar Islands,ssp245,2060-2080,linear,64.30699368923973,64.4814639359978,0.17447024675806233,3,3
Andaman & Nicobar Islands,ssp585,2020-2040,linear,50.27272147941239,49.908379158533336,-0.3643423208790537,3,3
Andaman & Nicobar Islands,ssp585,2040-2060,linear,63.892887500341054,63.9713888562909,0.07850135594984664,3,3
Andaman & Nicobar Islands,ssp585,2060-2080,linear,64.82589899723541,65.04596813959662,0.22006914236121133,3,3
Andhra Pradesh,historical,1990-2010,linear,45.728345269678044,45.729959654930674,0.001614385252629802,26,26
Andhra Pradesh,ssp245,2020-2040,linear,55.8177383769604,55.787036062886116,-0.03070231407428281,26,26
Andhra Pradesh,ssp245,2040-2060,linear,65.62463995791722,65.38585717287606,-0.2387827850411668,26,26
Andhra Pradesh,ssp245,2060-2080,linear,74.36366097246909,74.03698452726367,-0.32667644520542183,26,26
Andhra Pradesh,ssp585,2020-2040,linear,56.15893994866514,56.13989461942603,-0.01904532923911262,26,26
Andhra Pradesh,ssp585,2040-2060,linear,72.65402310223286,72.35174176346594,-0.30228133876691743,26,26
Andhra Pradesh,ssp585,2060-2080,linear,88.84261727692734,88.43064103410816,-0.4119762428191791,26,26
Arunachal Pradesh,historical,1990-2010,linear,14.376740256615413,10.863134364938515,-3.5136058916768977,26,26
Arunachal Pradesh,ssp245,2020-2040,linear,25.492135631401425,21.840035877643896,-3.652099753757529,26,26
Arunachal Pradesh,ssp245,2040-2060,linear,34.76868865845207,30.95870958651865,-3.8099790719334194,26,26
Arunachal Pradesh,ssp245,2060-2080,linear,42.304292328159036,38.39024289952119,-3.9140494286378456,26,26
Arunachal Pradesh,ssp585,2020-2040,linear,26.87134794441602,23.192698687463015,-3.6786492569530047,26,26
Arunachal Pradesh,ssp585,2040-2060,linear,41.22081285829238,37.314706590256236,-3.9061062680361474,26,26
Arunachal Pradesh,ssp585,2060-2080,linear,55.52295223891368,51.43046980842516,-4.0924824304885234,26,26
Assam,historical,1990-2010,linear,30.458433297475064,29.66818048491943,-0.7902528125556358,35,35
Assam,ssp245,2020-2040,linear,42.3652322440342,41.6294401225446,-0.7357921214896024,35,35
Assam,ssp245,2040-2060,linear,53.27264701118981,52.38732451528484,-0.8853224959049726,35,35
Assam,ssp245,2060-2080,linear,62.011349627564194,61.08813062201428,-0.9232190055499103,35,35
Assam,ssp585,2020-2040,linear,43.87586713683272,43.07106350639588,-0.8048036304368367,35,35
Assam,ssp585,2040-2060,linear,60.444767494801546,59.551715881233754,-0.893051613567792,35,35
Assam,ssp585,2060-2080,linear,75.92437349775635,74.97587766269855,-0.9484958350577983,35,35
Bihar,historical,1990-2010,linear,42.832897469836766,42.83870562816785,0.005808158331085167,38,38
Bihar,ssp245,2020-2040,linear,50.95241349348159,51.03417704376458,0.08176355028298588,38,38
Bihar,ssp245,2040-2060,linear,62.88750896767927,62.91386601593255,0.026357048253281334,38,38
Bihar,ssp245,2060-2080,linear,70.95631615738705,70.9615806021659,0.005264444778845245,38,38
Bihar,ssp585,2020-2040,linear,52.55234043230992,52.61251661209886,0.06017617978893952,38,38
Bihar,ssp585,2040-2060,linear,68.92404848366188,68.95654221919558,0.0324937355337056,38,38
Bihar,ssp585,2060-2080,linear,85.31324031618244,85.31129094038022,-0.0019493758022264274,38,38
Chandigarh,historical,1990-2010,linear,38.953874857675615,38.953874857675615,0.0,1,1
Chandigarh,ssp245,2020-2040,linear,49.8149007113735,49.81490071137349,-7.105427357601002e-15,1,1
Chandigarh,ssp245,2040-2060,linear,59.436623850734684,59.436623850734684,0.0,1,1
Chandigarh,ssp245,2060-2080,linear,67.54434053504669,67.54434053504669,0.0,1,1
Chandigarh,ssp585,2020-2040,linear,50.61400473910761,50.61400473910761,0.0,1,1
Chandigarh,ssp585,2040-2060,linear,65.44182099621221,65.44182099621221,0.0,1,1
Chandigarh,ssp585,2060-2080,linear,80.72116094809483,80.72116094809483,0.0,1,1
Chhattisgarh,historical,1990-2010,linear,44.67582344298167,44.31254331135794,-0.36328013162372486,33,33
Chhattisgarh,ssp245,2020-2040,linear,53.902156304902654,53.56895766037853,-0.3331986445241242,33,33
Chhattisgarh,ssp245,2040-2060,linear,63.3362782061402,63.011282519821705,-0.32499568631849485,33,33
Chhattisgarh,ssp245,2060-2080,linear,70.71992654628941,70.4905404156811,-0.2293861306083187,33,33
Chhattisgarh,ssp585,2020-2040,linear,54.39205316842229,54.04577266690827,-0.34628050151401624,33,33
Chhattisgarh,ssp585,2040-2060,linear,69.40124214005753,69.14538548490286,-0.25585665515467326,33,33
Chhattisgarh,ssp585,2060-2080,linear,85.55627937209992,85.34621282538369,-0.21006654671623437,33,33
"Dadra, Nagar Haveli, Daman & Diu",historical,1990-2010,linear,40.621015904314774,42.66519808633753,2.044182182022759,3,3
"Dadra, Nagar Haveli, Daman & Diu",ssp245,2020-2040,linear,53.23986015554322,54.21660002296172,0.9767398674185017,3,3
"Dadra, Nagar Haveli, Daman & Diu",ssp245,2040-2060,linear,64.53199445747104,64.94083601988355,0.4088415624125048,3,3
"Dadra, Nagar Haveli, Daman & Diu",ssp245,2060-2080,linear,73.38330870032242,73.52226406129519,0.13895536097277272,3,3
"Dadra, Nagar Haveli, Daman & Diu",ssp585,2020-2040,linear,54.24141446328125,55.12401787478321,0.882603411501961,3,3
