site,reference,candidate,n_days,bias_c,median_abs_bias_c,rmse_c,pearson_r,p99_bias_c,days_ge_28_ref,days_ge_28_cand,days_ge_30_ref,days_ge_30_cand,days_ge_32_ref,days_ge_32_cand
Kochi,liljegren_daily_max,"irt_swbgt_hourly_max [outdoor, formula only]",3651,0.9268256455774758,1.8054728292114355,2.2826590560706004,0.41029179079982014,-6.119421015276644,3595,3651,3272,3633,2113,3107
Kochi,liljegren_daily_max,"irt_swbgt_daily_mean_in [outdoor, AS DEPLOYED]",3651,-1.3853843750487909,1.4144102737168502,2.407260921270577,0.47852297495745,-8.126839219873473,3595,3613,3272,3103,2113,776
Kochi,bernard_daily_max,"irt_shade_hourly_max [shade, formula only]",3651,-0.03688204887880289,0.052754613506238,0.0675418004223772,0.9984749713752114,-0.004618786915631425,1275,1213,52,53,0,0
Kochi,bernard_daily_max,"irt_shade_daily_mean_in [shade, AS DEPLOYED]",3651,-2.0999808246477665,2.0937487274279576,2.1517600829900703,0.8880788543274171,-2.7634095256302076,1275,11,52,0,0,0
Kochi,liljegren_daily_max,irt_shade_daily_mean_in [shade vs outdoor reference],3651,-6.908414628210839,6.751132454982418,7.167154762456976,0.5319075500988534,-13.776603469089258,3595,11,3272,0,2113,0
Kolkata,liljegren_daily_max,"irt_swbgt_hourly_max [outdoor, formula only]",3651,1.7707228161949755,2.114167429857112,2.7613136910382963,0.9140880907887646,-0.6884639768015799,2673,2674,2256,2451,1439,2152
Kolkata,liljegren_daily_max,"irt_swbgt_daily_mean_in [outdoor, AS DEPLOYED]",3651,-0.49717863861288675,1.843572532314866,2.5001369103430773,0.9059732453298966,-2.889106874673162,2673,2451,2256,2178,1439,1823
Kolkata,bernard_daily_max,"irt_shade_hourly_max [shade, formula only]",3651,-0.060243806099527966,0.06392570030488187,0.09329627168812095,0.9999113524970656,0.05216439885803149,1801,1777,552,535,39,42
Kolkata,bernard_daily_max,"irt_shade_daily_mean_in [shade, AS DEPLOYED]",3651,-2.218629873804808,2.0266448256335465,2.3738744494376496,0.9895731170728487,-2.2750433852695773,1801,614,552,39,39,0
Kolkata,liljegren_daily_max,irt_shade_daily_mean_in [shade vs outdoor reference],3651,-5.9480559443152075,5.802749954868876,6.235629208254425,0.9118887524632178,-9.170295421431385,2673,614,2256,39,1439,0
