level,state,district,block,district_key,block_key,scenario,period,expected_score,expected_hex
block,Lakshadweep,Lakshadweep,Kavaratti,,lakshadweep|lakshadweep|kavaratti,historical,1990-2010,1.697416,#d5effc
block,Tamil Nadu,Ranipet,Timiri,,tamil nadu|ranipet|timiri,historical,1990-2010,7.614841,#aee0f8
block,Andhra Pradesh,Alluri Sitharama Raju,Rajavommangi,,andhra pradesh|alluri sitharama raju|rajavommangi,historical,1990-2010,16.891952,#77b8e3
block,Gujarat,Junagadh,Mendarda,,gujarat|junagadh|mendarda,historical,1990-2010,24.335308,#5095cf
block,West Bengal,Jhargram,Binpur-I,,west bengal|jhargram|binpur i,historical,1990-2010,34.10038,#49a47e
block,Odisha,Nabarangpur,Jharigam,,odisha|nabarangpur|jharigam,historical,1990-2010,46.19524,#8cc84e
block,Bihar,Kishanganj,Terhagachh,,bihar|kishanganj|terhagachh,historical,1990-2010,60.032808,#f8c04b
block,Bihar,Bhojpur,Charpokhari,,bihar|bhojpur|charpokhari,historical,1990-2010,65.893253,#f69039
block,Madhya Pradesh,Sidhi,Sihawal,,madhya pradesh|sidhi|sihawal,historical,1990-2010,73.56132,#ed5729
block,Uttar Pradesh,Mathura,Farah,,uttar pradesh|mathura|farah,historical,1990-2010,81.806,#db3028
block,Punjab,Tarn Taran,Tarn Taran-12,,punjab|tarn taran|tarn taran 12,historical,1990-2010,90.018447,#be1c23
block,Ladakh,Leh Ladakh,Panamic,,ladakh|leh ladakh|panamic,historical,1990-2010,99.990589,#921519
block,Lakshadweep,Lakshadweep,Kavaratti,,lakshadweep|lakshadweep|kavaratti,ssp245,2020-2040,1.545636,#d5effc
block,Tamil Nadu,Karur,Kadavur,,tamil nadu|karur|kadavur,ssp245,2020-2040,8.69438,#a9def8
block,Telangana,Wanaparthy,Atmakur,,telangana|wanaparthy|atmakur,ssp245,2020-2040,16.849107,#77b8e3
block,West Bengal,24 Paraganas South,Baruipur,,west bengal|24 paraganas south|baruipur,ssp245,2020-2040,24.210295,#5095cf
block,Odisha,Kalahandi,Junagarh,,odisha|kalahandi|junagarh,ssp245,2020-2040,32.557049,#49a285
block,West Bengal,Bankura,Chhatna,,west bengal|bankura|chhatna,ssp245,2020-2040,43.162864,#6abf4a
block,Bihar,Munger,Bariyarpur,,bihar|munger|bariyarpur,ssp245,2020-2040,55.894835,#fae259
block,Bihar,Saran,Jalalpur,,bihar|saran|jalalpur,ssp245,2020-2040,62.579222,#f7a842
block,Uttar Pradesh,Siddharth Nagar,Jogia,,uttar pradesh|siddharth nagar|jogia,ssp245,2020-2040,69.996969,#f56d2a
block,Uttar Pradesh,Budaun,Sahaswan,,uttar pradesh|budaun|sahaswan,ssp245,2020-2040,78.819386,#e23e28
block,Manipur,Kangpokpi,Saikul,,manipur|kangpokpi|saikul,ssp245,2020-2040,88.958459,#c11c24
block,Ladakh,Leh Ladakh,Panamic,,ladakh|leh ladakh|panamic,ssp245,2020-2040,99.983094,#921519
block,Lakshadweep,Lakshadweep,Kavaratti,,lakshadweep|lakshadweep|kavaratti,ssp245,2040-2060,1.491024,#ddf2fc
block,Andhra Pradesh,East Godavari,Rajanagaram,,andhra pradesh|east godavari|rajanagaram,ssp245,2040-2060,7.033245,#b5e3f9
block,Andhra Pradesh,Parvathipuram Manyam,Balijipeta,,andhra pradesh|parvathipuram manyam|balijipeta,ssp245,2040-2060,13.813609,#89c9ec
block,Andhra Pradesh,Parvathipuram Manyam,Komarada,,andhra pradesh|parvathipuram manyam|komarada,ssp245,2040-2060,20.538246,#62a6d8
block,Tripura,Sepahijala,Kathalia,,tripura|sepahijala|kathalia,ssp245,2040-2060,28.031733,#4894b3
