level,state,district,block,district_key,block_key,scenario,period,expected_score,expected_hex
block,Andaman & Nicobar Islands,Nicobars,Campbell Bay,,andaman nicobar islands|nicobars|campbell bay,historical,1990-2010,0.009111,#e2f4fd
block,Arunachal Pradesh,Upper Subansiri,Dumporijo,,arunachal pradesh|upper subansiri|dumporijo,historical,1990-2010,9.402854,#a9def8
block,Odisha,Ganjam,Purushottampur,,odisha|ganjam|purushottampur,historical,1990-2010,20.397203,#67aada
block,Uttarakhand,Pauri Garhwal,Pauri,,uttarakhand|pauri garhwal|pauri,historical,1990-2010,29.631154,#489aa2
block,Uttar Pradesh,Saharanpur,Sadauli Qadeem,,uttar pradesh|saharanpur|sadauli qadeem,historical,1990-2010,38.908454,#49b153
block,Bihar,Purbi Champaran,Kesaria,,bihar|purbi champaran|kesaria,historical,1990-2010,47.505271,#a4cf51
block,Uttar Pradesh,Gonda,Pandri Kripal,,uttar pradesh|gonda|pandri kripal,historical,1990-2010,54.67544,#f4e75b
block,Haryana,Kaithal,Rajound,,haryana|kaithal|rajound,historical,1990-2010,63.71002,#f7a13f
block,Haryana,Sonipat,Kharkhoda,,haryana|sonipat|kharkhoda,historical,1990-2010,72.04074,#f06129
block,Andhra Pradesh,Y.S.R,Badvel,,andhra pradesh|ysr|badvel,historical,1990-2010,78.390187,#e44228
block,Madhya Pradesh,Sehore,Sehore,,madhya pradesh|sehore|sehore,historical,1990-2010,89.074439,#c11c24
block,Rajasthan,Jaisalmer,Sam,,rajasthan|jaisalmer|sam,historical,1990-2010,99.990889,#921519
block,Andaman & Nicobar Islands,Nicobars,Campbell Bay,,andaman nicobar islands|nicobars|campbell bay,ssp245,2020-2040,0.026944,#e2f4fd
block,Tamil Nadu,Thiruvarur,Tirutturaippundi,,tamil nadu|thiruvarur|tirutturaippundi,ssp245,2020-2040,12.214788,#95d3f2
block,Puducherry,Yanam,Yanam,,puducherry|yanam|yanam,ssp245,2020-2040,24.043367,#5095cf
block,Andhra Pradesh,Parvathipuram Manyam,Seethanagaram,,andhra pradesh|parvathipuram manyam|seethanagaram,ssp245,2020-2040,32.288969,#489f90
block,Bihar,Purnia,Barhara,,bihar|purnia|barhara,ssp245,2020-2040,40.694667,#54b847
