level,state,district,block,district_key,block_key,scenario,period,expected_score,expected_hex
block,Ladakh,Leh Ladakh,Panamic,,ladakh|leh ladakh|panamic,historical,1990-2010,0.009111,#e2f4fd
block,Karnataka,Bagalkote,Hungund,,karnataka|bagalkote|hungund,historical,1990-2010,7.054239,#b5e3f9
block,Telangana,Hyderabad,Bandlaguda,,telangana|hyderabad|bandlaguda,historical,1990-2010,13.381791,#8ecdef
block,Rajasthan,Gangapurcity,Gangapur City,,rajasthan|gangapurcity|gangapur city,historical,1990-2010,19.406971,#6eb0de
block,Uttar Pradesh,Bulandshahr,Agauta,,uttar pradesh|bulandshahr|agauta,historical,1990-2010,24.860925,#4b90cb
block,Telangana,Sangareddy,Kangti,,telangana|sangareddy|kangti,historical,1990-2010,28.89799,#4898a9
block,Himachal Pradesh,Shimla,Mashobra,,himachal pradesh|shimla|mashobra,historical,1990-2010,33.323561,#49a285
block,Gujarat,Dohad,Limkheda,,gujarat|dohad|limkheda,historical,1990-2010,40.858467,#54b847
block,Uttar Pradesh,Gonda,Nawabganj,,uttar pradesh|gonda|nawabganj,historical,1990-2010,47.699298,#a4cf51
block,Odisha,Cuttack,Mahanga,,odisha|cuttack|mahanga,historical,1990-2010,59.057852,#f9ca50
block,Assam,Sonitpur,Borchala,,assam|sonitpur|borchala,historical,1990-2010,78.037361,#e44228
block,Meghalaya,East Khasi Hills,Shella Bholaganj,,meghalaya|east khasi hills|shella bholaganj,historical,1990-2010,98.499269,#9b161b
block,Ladakh,Leh Ladakh,Panamic,,ladakh|leh ladakh|panamic,ssp245,2020-2040,0.009436,#e2f4fd
block,Himachal Pradesh,Kullu,Naggar,,himachal pradesh|kullu|naggar,ssp245,2020-2040,11.346176,#99d7f5
block,Rajasthan,Rajsamand,Khamnor,,rajasthan|rajsamand|khamnor,ssp245,2020-2040,20.465521,#67aada
block,Punjab,Patiala,Patiala Rural,,punjab|patiala|patiala rural,ssp245,2020-2040,28.030858,#4894b3
block,Gujarat,Patan,Chanasma,,gujarat|patan|chanasma,ssp245,2020-2040,33.184929,#49a285
block,Telangana,Kumuram Bheem Asifabad,Chintalamanepally,,telangana|kumuram bheem asifabad|chintalamanepally,ssp245,2020-2040,37.759819,#49af5a
block,Jharkhand,Garhwa,Ramkanda,,jharkhand|garhwa|ramkanda,ssp245,2020-2040,43.20061,#6abf4a
