level,state,district,block,district_key,block_key,scenario,period,expected_score,expected_hex
block,Delhi,Central,Central,,delhi|central|central,ssp245,2020-2040,45.041265,#82c64d
block,Delhi,Central,Central,,delhi|central|central,ssp245,2040-2060,56.366214,#fae259
block,Delhi,Central,Central,,delhi|central|central,ssp245,2060-2080,65.077795,#f7973b
block,Delhi,Central,Central,,delhi|central|central,ssp585,2020-2040,47.014604,#9acc50
block,Delhi,Central,Central,,delhi|central|central,ssp585,2040-2060,62.625198,#f7a842
block,Delhi,Central,Central,,delhi|central|central,ssp585,2060-2080,78.267049,#e44228
block,Delhi,Central,East,,delhi|central|east,ssp245,2020-2040,45.670106,#8cc84e
block,Delhi,Central,East,,delhi|central|east,ssp245,2040-2060,57.557884,#f9d152
block,Delhi,Central,East,,delhi|central|east,ssp245,2060-2080,66.000732,#f69039
block,Delhi,Central,East,,delhi|central|east,ssp585,2020-2040,47.857296,#a4cf51
block,Delhi,Central,East,,delhi|central|east,ssp585,2040-2060,63.644674,#f7a13f
block,Delhi,Central,East,,delhi|central|east,ssp585,2060-2080,79.479007,#e23e28
block,Delhi,East,East,,delhi|east|east,ssp245,2020-2040,45.918847,#8cc84e
block,Delhi,East,East,,delhi|east|east,ssp245,2040-2060,58.06928,#f9d152
block,Delhi,East,East,,delhi|east|east,ssp245,2060-2080,66.334203,#f69039
block,Delhi,East,East,,delhi|east|east,ssp585,2020-2040,48.215724,#a4cf51
block,Delhi,East,East,,delhi|east|east,ssp585,2040-2060,64.140901,#f7a13f
block,Delhi,East,East,,delhi|east|east,ssp585,2060-2080,80.069913,#df3828
block,Delhi,New Delhi,New Delhi,,delhi|new delhi|new delhi,ssp245,2020-2040,45.287805,#82c64d
block,Delhi,New Delhi,New Delhi,,delhi|new delhi|new delhi,ssp245,2040-2060,56.527639,#f9db56
block,Delhi,New Delhi,New Delhi,,delhi|new delhi|new delhi,ssp245,2060-2080,65.315713,#f7973b
block,Delhi,New Delhi,New Delhi,,delhi|new delhi|new delhi,ssp585,2020-2040,47.261489,#9acc50
block,Delhi,New Delhi,New Delhi,,delhi|new delhi|new delhi,ssp585,2040-2060,62.793943,#f7a842
block,Delhi,New Delhi,New Delhi,,delhi|new delhi|new delhi,ssp585,2060-2080,78.265018,#e44228
block,Delhi,North,North,,delhi|north|north,ssp245,2020-2040,44.02668,#79c34c
block,Delhi,North,North,,delhi|north|north,ssp245,2040-2060,55.302478,#f4e75b
block,Delhi,North,North,,delhi|north|north,ssp245,2060-2080,63.991772,#f7a13f
block,Delhi,North,North,,delhi|north|north,ssp585,2020-2040,45.993172,#8cc84e
block,Delhi,North,North,,delhi|north|north,ssp585,2040-2060,61.57981,#f8af45
block,Delhi,North,North,,delhi|north|north,ssp585,2060-2080,77.763925,#e44228
block,Delhi,North East,North East,,delhi|north east|north east,ssp245,2020-2040,45.314658,#82c64d
block,Delhi,North East,North East,,delhi|north east|north east,ssp245,2040-2060,57.158202,#f9db56
block,Delhi,North East,North East,,delhi|north east|north east,ssp245,2060-2080,65.590954,#f69039
block,Delhi,North East,North East,,delhi|north east|north east,ssp585,2020-2040,47.481587,#9acc50
block,Delhi,North East,North East,,delhi|north east|north east,ssp585,2040-2060,63.262909,#f7a842
block,Delhi,North East,North East,,delhi|north east|north east,ssp585,2060-2080,79.283029,#e23e28
block,Delhi,North West,North West,,delhi|north west|north west,ssp245,2020-2040,45.382269,#82c64d
block,Delhi,North West,North West,,delhi|north west|north west,ssp245,2040-2060,56.662863,#f9db56
block,Delhi,North West,North West,,delhi|north west|north west,ssp245,2060-2080,65.425522,#f7973b
block,Delhi,North West,North West,,delhi|north west|north west,ssp585,2020-2040,47.285944,#9acc50
block,Delhi,North West,North West,,delhi|north west|north west,ssp585,2040-2060,62.830386,#f7a842
block,Delhi,North West,North West,,delhi|north west|north west,ssp585,2060-2080,78.499981,#e44228
block,Delhi,Shahdara,Shahdara,,delhi|shahdara|shahdara,ssp245,2020-2040,45.873293,#8cc84e
block,Delhi,Shahdara,Shahdara,,delhi|shahdara|shahdara,ssp245,2040-2060,58.077432,#f9d152
block,Delhi,Shahdara,Shahdara,,delhi|shahdara|shahdara,ssp245,2060-2080,66.315981,#f69039
block,Delhi,Shahdara,Shahdara,,delhi|shahdara|shahdara,ssp585,2020-2040,48.163937,#a4cf51
block,Delhi,Shahdara,Shahdara,,delhi|shahdara|shahdara,ssp585,2040-2060,64.122679,#f7a13f
block,Delhi,Shahdara,Shahdara,,delhi|shahdara|shahdara,ssp585,2060-2080,80.051692,#df3828
block,Delhi,South,South,,delhi|south|south,ssp245,2020-2040,45.198615,#82c64d
block,Delhi,South,South,,delhi|south|south,ssp245,2040-2060,56.125326,#fae259
block,Delhi,South,South,,delhi|south|south,ssp245,2060-2080,64.879834,#f7973b
block,Delhi,South,South,,delhi|south|south,ssp585,2020-2040,47.057216,#9acc50
block,Delhi,South,South,,delhi|south|south,ssp585,2040-2060,62.320661,#f8af45
block,Delhi,South,South,,delhi|south|south,ssp585,2060-2080,78.616983,#e23e28
block,Delhi,South East,South East,,delhi|south east|south east,ssp245,2020-2040,45.992213,#8cc84e
block,Delhi,South East,South East,,delhi|south east|south east,ssp245,2040-2060,57.924467,#f9d152
block,Delhi,South East,South East,,delhi|south east|south east,ssp245,2060-2080,66.346191,#f69039
block,Delhi,South East,South East,,delhi|south east|south east,ssp585,2020-2040,48.172568,#a4cf51
block,Delhi,South East,South East,,delhi|south east|south east,ssp585,2040-2060,64.077125,#f7a13f
block,Delhi,South East,South East,,delhi|south east|south east,ssp585,2060-2080,79.870435,#df3828
block,Delhi,South West,South West,,delhi|south west|south west,ssp245,2020-2040,46.037287,#8cc84e
block,Delhi,South West,South West,,delhi|south west|south west,ssp245,2040-2060,57.270888,#f9db56
block,Delhi,South West,South West,,delhi|south west|south west,ssp245,2060-2080,66.32701,#f69039
block,Delhi,South West,South West,,delhi|south west|south west,ssp585,2020-2040,47.949593,#a4cf51
block,Delhi,South West,South West,,delhi|south west|south west,ssp585,2040-2060,63.341549,#f7a842
block,Delhi,South West,South West,,delhi|south west|south west,ssp585,2060-2080,79.08403,#e23e28
block,Delhi,West,West,,delhi|west|west,ssp245,2020-2040,45.369323,#82c64d
block,Delhi,West,West,,delhi|west|west,ssp245,2040-2060,56.662383,#f9db56
block,Delhi,West,West,,delhi|west|west,ssp245,2060-2080,65.503683,#f69039
block,Delhi,West,West,,delhi|west|west,ssp585,2020-2040,47.450898,#9acc50
block,Delhi,West,West,,delhi|west|west,ssp585,2040-2060,62.890805,#f7a842
block,Delhi,West,West,,delhi|west|west,ssp585,2060-2080,78.406955,#e44228
block,Ladakh,Kargil,Drass,,ladakh|kargil|drass,ssp245,2020-2040,0.547451,#ddf2fc
block,Ladakh,Kargil,Drass,,ladakh|kargil|drass,ssp245,2040-2060,0.682885,#ddf2fc
block,Ladakh,Kargil,Drass,,ladakh|kargil|drass,ssp245,2060-2080,0.856286,#ddf2fc
block,Ladakh,Kargil,Drass,,ladakh|kargil|drass,ssp585,2020-2040,0.575155,#ddf2fc
block,Ladakh,Kargil,Drass,,ladakh|kargil|drass,ssp585,2040-2060,0.856788,#ddf2fc
block,Ladakh,Kargil,Drass,,ladakh|kargil|drass,ssp585,2060-2080,1.283338,#ddf2fc
block,Ladakh,Kargil,Gm Pora (Trespone),,ladakh|kargil|gm pora trespone,ssp245,2020-2040,0.674872,#ddf2fc
block,Ladakh,Kargil,Gm Pora (Trespone),,ladakh|kargil|gm pora trespone,ssp245,2040-2060,0.785413,#ddf2fc
block,Ladakh,Kargil,Gm Pora (Trespone),,ladakh|kargil|gm pora trespone,ssp245,2060-2080,1.011757,#ddf2fc
block,Ladakh,Kargil,Gm Pora (Trespone),,ladakh|kargil|gm pora trespone,ssp585,2020-2040,0.684993,#ddf2fc
block,Ladakh,Kargil,Gm Pora (Trespone),,ladakh|kargil|gm pora trespone,ssp585,2040-2060,1.015593,#ddf2fc
block,Ladakh,Kargil,Gm Pora (Trespone),,ladakh|kargil|gm pora trespone,ssp585,2060-2080,1.51358,#d5effc
block,Ladakh,Kargil,Kargil,,ladakh|kargil|kargil,ssp245,2020-2040,1.253424,#ddf2fc
block,Ladakh,Kargil,Kargil,,ladakh|kargil|kargil,ssp245,2040-2060,1.59349,#d5effc
block,Ladakh,Kargil,Kargil,,ladakh|kargil|kargil,ssp245,2060-2080,2.040858,#d5effc
block,Ladakh,Kargil,Kargil,,ladakh|kargil|kargil,ssp585,2020-2040,1.292891,#ddf2fc
block,Ladakh,Kargil,Kargil,,ladakh|kargil|kargil,ssp585,2040-2060,2.040778,#d5effc
block,Ladakh,Kargil,Kargil,,ladakh|kargil|kargil,ssp585,2060-2080,3.155848,#cfedfb
block,Ladakh,Kargil,Karsha,,ladakh|kargil|karsha,ssp245,2020-2040,0.283364,#e2f4fd
block,Ladakh,Kargil,Karsha,,ladakh|kargil|karsha,ssp245,2040-2060,0.336896,#e2f4fd
block,Ladakh,Kargil,Karsha,,ladakh|kargil|karsha,ssp245,2060-2080,0.475309,#e2f4fd
block,Ladakh,Kargil,Karsha,,ladakh|kargil|karsha,ssp585,2020-2040,0.309276,#e2f4fd
block,Ladakh,Kargil,Karsha,,ladakh|kargil|karsha,ssp585,2040-2060,0.452869,#e2f4fd
block,Ladakh,Kargil,Karsha,,ladakh|kargil|karsha,ssp585,2060-2080,0.727485,#ddf2fc
block,Ladakh,Kargil,Lungnak,,ladakh|kargil|lungnak,ssp245,2020-2040,0.328707,#e2f4fd
block,Ladakh,Kargil,Lungnak,,ladakh|kargil|lungnak,ssp245,2040-2060,0.437969,#e2f4fd
block,Ladakh,Kargil,Lungnak,,ladakh|kargil|lungnak,ssp245,2060-2080,0.600549,#ddf2fc
block,Ladakh,Kargil,Lungnak,,ladakh|kargil|lungnak,ssp585,2020-2040,0.364183,#e2f4fd
block,Ladakh,Kargil,Lungnak,,ladakh|kargil|lungnak,ssp585,2040-2060,0.580074,#ddf2fc
block,Ladakh,Kargil,Lungnak,,ladakh|kargil|lungnak,ssp585,2060-2080,0.925693,#ddf2fc
block,Ladakh,Kargil,Sankoo,,ladakh|kargil|sankoo,ssp245,2020-2040,0.407258,#e2f4fd
block,Ladakh,Kargil,Sankoo,,ladakh|kargil|sankoo,ssp245,2040-2060,0.489159,#e2f4fd
block,Ladakh,Kargil,Sankoo,,ladakh|kargil|sankoo,ssp245,2060-2080,0.65541,#ddf2fc
block,Ladakh,Kargil,Sankoo,,ladakh|kargil|sankoo,ssp585,2020-2040,0.422295,#e2f4fd
block,Ladakh,Kargil,Sankoo,,ladakh|kargil|sankoo,ssp585,2040-2060,0.657276,#ddf2fc
block,Ladakh,Kargil,Sankoo,,ladakh|kargil|sankoo,ssp585,2060-2080,1.018028,#ddf2fc
block,Ladakh,Kargil,Shaker Chaktan,,ladakh|kargil|shaker chaktan,ssp245,2020-2040,0.818001,#ddf2fc
block,Ladakh,Kargil,Shaker Chaktan,,ladakh|kargil|shaker chaktan,ssp245,2040-2060,0.992619,#ddf2fc
block,Ladakh,Kargil,Shaker Chaktan,,ladakh|kargil|shaker chaktan,ssp245,2060-2080,1.296178,#ddf2fc
block,Ladakh,Kargil,Shaker Chaktan,,ladakh|kargil|shaker chaktan,ssp585,2020-2040,0.836412,#ddf2fc
block,Ladakh,Kargil,Shaker Chaktan,,ladakh|kargil|shaker chaktan,ssp585,2040-2060,1.29796,#ddf2fc
block,Ladakh,Kargil,Shaker Chaktan,,ladakh|kargil|shaker chaktan,ssp585,2060-2080,2.119371,#d5effc
block,Ladakh,Kargil,Shargol,,ladakh|kargil|shargol,ssp245,2020-2040,0.89797,#ddf2fc
block,Ladakh,Kargil,Shargol,,ladakh|kargil|shargol,ssp245,2040-2060,1.059476,#ddf2fc
block,Ladakh,Kargil,Shargol,,ladakh|kargil|shargol,ssp245,2060-2080,1.374723,#ddf2fc
block,Ladakh,Kargil,Shargol,,ladakh|kargil|shargol,ssp585,2020-2040,0.918566,#ddf2fc
block,Ladakh,Kargil,Shargol,,ladakh|kargil|shargol,ssp585,2040-2060,1.367599,#ddf2fc
block,Ladakh,Kargil,Shargol,,ladakh|kargil|shargol,ssp585,2060-2080,2.213392,#d5effc
block,Ladakh,Kargil,Taisuru,,ladakh|kargil|taisuru,ssp245,2020-2040,0.270279,#e2f4fd
block,Ladakh,Kargil,Taisuru,,ladakh|kargil|taisuru,ssp245,2040-2060,0.339714,#e2f4fd
block,Ladakh,Kargil,Taisuru,,ladakh|kargil|taisuru,ssp245,2060-2080,0.453863,#e2f4fd
block,Ladakh,Kargil,Taisuru,,ladakh|kargil|taisuru,ssp585,2020-2040,0.300715,#e2f4fd
block,Ladakh,Kargil,Taisuru,,ladakh|kargil|taisuru,ssp585,2040-2060,0.444127,#e2f4fd
block,Ladakh,Kargil,Taisuru,,ladakh|kargil|taisuru,ssp585,2060-2080,0.714561,#ddf2fc
block,Ladakh,Kargil,Zansker,,ladakh|kargil|zansker,ssp245,2020-2040,0.225923,#e2f4fd
block,Ladakh,Kargil,Zansker,,ladakh|kargil|zansker,ssp245,2040-2060,0.305422,#e2f4fd
block,Ladakh,Kargil,Zansker,,ladakh|kargil|zansker,ssp245,2060-2080,0.434634,#e2f4fd
block,Ladakh,Kargil,Zansker,,ladakh|kargil|zansker,ssp585,2020-2040,0.251002,#e2f4fd
block,Ladakh,Kargil,Zansker,,ladakh|kargil|zansker,ssp585,2040-2060,0.393595,#e2f4fd
block,Ladakh,Kargil,Zansker,,ladakh|kargil|zansker,ssp585,2060-2080,0.659969,#ddf2fc
block,Ladakh,Leh Ladakh,Chuchot,,ladakh|leh ladakh|chuchot,ssp245,2020-2040,0.64493,#ddf2fc
block,Ladakh,Leh Ladakh,Chuchot,,ladakh|leh ladakh|chuchot,ssp245,2040-2060,0.817005,#ddf2fc
block,Ladakh,Leh Ladakh,Chuchot,,ladakh|leh ladakh|chuchot,ssp245,2060-2080,1.076664,#ddf2fc
block,Ladakh,Leh Ladakh,Chuchot,,ladakh|leh ladakh|chuchot,ssp585,2020-2040,0.67321,#ddf2fc
block,Ladakh,Leh Ladakh,Chuchot,,ladakh|leh ladakh|chuchot,ssp585,2040-2060,1.076152,#ddf2fc
block,Ladakh,Leh Ladakh,Chuchot,,ladakh|leh ladakh|chuchot,ssp585,2060-2080,1.779452,#d5effc
block,Ladakh,Leh Ladakh,Deskit,,ladakh|leh ladakh|deskit,ssp245,2020-2040,0.299146,#e2f4fd
block,Ladakh,Leh Ladakh,Deskit,,ladakh|leh ladakh|deskit,ssp245,2040-2060,0.433569,#e2f4fd
block,Ladakh,Leh Ladakh,Deskit,,ladakh|leh ladakh|deskit,ssp245,2060-2080,0.576817,#ddf2fc
block,Ladakh,Leh Ladakh,Deskit,,ladakh|leh ladakh|deskit,ssp585,2020-2040,0.316826,#e2f4fd
block,Ladakh,Leh Ladakh,Deskit,,ladakh|leh ladakh|deskit,ssp585,2040-2060,0.580855,#ddf2fc
block,Ladakh,Leh Ladakh,Deskit,,ladakh|leh ladakh|deskit,ssp585,2060-2080,1.025312,#ddf2fc
block,Ladakh,Leh Ladakh,Durbuk,,ladakh|leh ladakh|durbuk,ssp245,2020-2040,0.205446,#e2f4fd
block,Ladakh,Leh Ladakh,Durbuk,,ladakh|leh ladakh|durbuk,ssp245,2040-2060,0.288147,#e2f4fd
block,Ladakh,Leh Ladakh,Durbuk,,ladakh|leh ladakh|durbuk,ssp245,2060-2080,0.415757,#e2f4fd
block,Ladakh,Leh Ladakh,Durbuk,,ladakh|leh ladakh|durbuk,ssp585,2020-2040,0.247036,#e2f4fd
block,Ladakh,Leh Ladakh,Durbuk,,ladakh|leh ladakh|durbuk,ssp585,2040-2060,0.41981,#e2f4fd
block,Ladakh,Leh Ladakh,Durbuk,,ladakh|leh ladakh|durbuk,ssp585,2060-2080,0.814482,#ddf2fc
block,Ladakh,Leh Ladakh,Khaltsi,,ladakh|leh ladakh|khaltsi,ssp245,2020-2040,0.553802,#ddf2fc
block,Ladakh,Leh Ladakh,Khaltsi,,ladakh|leh ladakh|khaltsi,ssp245,2040-2060,0.690623,#ddf2fc
block,Ladakh,Leh Ladakh,Khaltsi,,ladakh|leh ladakh|khaltsi,ssp245,2060-2080,0.890853,#ddf2fc
block,Ladakh,Leh Ladakh,Khaltsi,,ladakh|leh ladakh|khaltsi,ssp585,2020-2040,0.570842,#ddf2fc
block,Ladakh,Leh Ladakh,Khaltsi,,ladakh|leh ladakh|khaltsi,ssp585,2040-2060,0.907785,#ddf2fc
block,Ladakh,Leh Ladakh,Khaltsi,,ladakh|leh ladakh|khaltsi,ssp585,2060-2080,1.480777,#ddf2fc
block,Ladakh,Leh Ladakh,Kharu,,ladakh|leh ladakh|kharu,ssp245,2020-2040,0.262247,#e2f4fd
block,Ladakh,Leh Ladakh,Kharu,,ladakh|leh ladakh|kharu,ssp245,2040-2060,0.338174,#e2f4fd
block,Ladakh,Leh Ladakh,Kharu,,ladakh|leh ladakh|kharu,ssp245,2060-2080,0.464283,#e2f4fd
block,Ladakh,Leh Ladakh,Kharu,,ladakh|leh ladakh|kharu,ssp585,2020-2040,0.287464,#e2f4fd
block,Ladakh,Leh Ladakh,Kharu,,ladakh|leh ladakh|kharu,ssp585,2040-2060,0.453997,#e2f4fd
block,Ladakh,Leh Ladakh,Kharu,,ladakh|leh ladakh|kharu,ssp585,2060-2080,0.820141,#ddf2fc
