id,custom_name,lat,long
0,Site0,17.0,78.0
1,Site1,17.01,78.01
2,Site2,17.02,78.02
3,Site3,17.03,78.03
4,Site4,17.04,78.04
5,Site5,17.05,78.05
6,Site6,17.06,78.06
7,Site7,17.07,78.07
8,Site8,17.08,78.08
9,Site9,17.09,78.09
10,Site10,17.1,78.1
11,Site11,17.11,78.11
12,Site12,17.12,78.12
13,Site13,17.13,78.13
14,Site14,17.14,78.14
15,Site15,17.15,78.15
16,Site16,17.16,78.16
17,Site17,17.17,78.17
18,Site18,17.18,78.18
19,Site19,17.19,78.19
20,Site20,17.2,78.2
21,Site21,17.21,78.21
22,Site22,17.22,78.22
23,Site23,17.23,78.23
24,Site24,17.24,78.24
25,Site25,17.25,78.25
26,Site26,17.26,78.26
27,Site27,17.27,78.27
28,Site28,17.28,78.28
29,Site29,17.29,78.29
30,Site30,17.3,78.3
31,Site31,17.31,78.31
32,Site32,17.32,78.32
33,Site33,17.33,78.33
34,Site34,17.34,78.34
35,Site35,17.35,78.35
36,Site36,17.36,78.36
37,Site37,17.37,78.37
38,Site38,17.38,78.38
39,Site39,17.39,78.39
40,Site40,17.4,78.4
41,Site41,17.41,78.41
42,Site42,17.42,78.42
43,Site43,17.43,78.43
44,Site44,17.44,78.44
45,Site45,17.45,78.45
46,Site46,17.46,78.46
47,Site47,17.47,78.47
48,Site48,17.48,78.48
49,Site49,17.49,78.49
50,Site50,17.5,78.5
51,Site51,17.51,78.51
52,Site52,17.52,78.52
53,Site53,17.53,78.53
54,Site54,17.54,78.54
55,Site55,17.55,78.55
56,Site56,17.56,78.56
57,Site57,17.57,78.57
58,Site58,17.58,78.58
59,Site59,17.59,78.59
60,Site60,17.6,78.6
61,Site61,17.61,78.61
62,Site62,17.62,78.62
63,Site63,17.63,78.63
64,Site64,17.64,78.64
65,Site65,17.65,78.65
66,Site66,17.66,78.66
67,Site67,17.67,78.67
68,Site68,17.68,78.68
69,Site69,17.69,78.69
70,Site70,17.7,78.7
71,Site71,17.71,78.71
72,Site72,17.72,78.72
73,Site73,17.73,78.73
74,Site74,17.74,78.74
75,Site75,17.75,78.75
76,Site76,17.76,78.76
77,Site77,17.77,78.77
78,Site78,17.78,78.78
79,Site79,17.79,78.79
80,Site80,17.8,78.8
81,Site81,17.81,78.81
82,Site82,17.82,78.82
83,Site83,17.83,78.83
84,Site84,17.84,78.84
85,Site85,17.85,78.85
86,Site86,17.86,78.86
87,Site87,17.87,78.87
88,Site88,17.88,78.88
89,Site89,17.89,78.89
90,Site90,17.9,78.9
91,Site91,17.91,78.91
92,Site92,17.92,78.92
93,Site93,17.93,78.93
94,Site94,17.94,78.94
95,Site95,17.95,78.95
96,Site96,17.96,78.96
97,Site97,17.97,78.97
98,Site98,17.98,78.98
99,Site99,17.99,78.99
100,Site100,17.0,78.0
101,Site101,17.01,78.01
102,Site102,17.02,78.02
103,Site103,17.03,78.03
104,Site104,17.04,78.04
105,Site105,17.05,78.05
106,Site106,17.06,78.06
107,Site107,17.07,78.07
108,Site108,17.08,78.08
109,Site109,17.09,78.09
110,Site110,17.1,78.1
111,Site111,17.11,78.11
112,Site112,17.12,78.12
113,Site113,17.13,78.13
114,Site114,17.14,78.14
115,Site115,17.15,78.15
116,Site116,17.16,78.16
117,Site117,17.17,78.17
118,Site118,17.18,78.18
119,Site119,17.19,78.19
120,Site120,17.2,78.2
121,Site121,17.21,78.21
122,Site122,17.22,78.22
123,Site123,17.23,78.23
124,Site124,17.24,78.24
125,Site125,17.25,78.25
126,Site126,17.26,78.26
127,Site127,17.27,78.27
128,Site128,17.28,78.28
129,Site129,17.29,78.29
130,Site130,17.3,78.3
131,Site131,17.31,78.31
132,Site132,17.32,78.32
133,Site133,17.33,78.33
134,Site134,17.34,78.34
135,Site135,17.35,78.35
136,Site136,17.36,78.36
137,Site137,17.37,78.37
138,Site138,17.38,78.38
139,Site139,17.39,78.39
140,Site140,17.4,78.4
141,Site141,17.41,78.41
142,Site142,17.42,78.42
143,Site143,17.43,78.43
144,Site144,17.44,78.44
145,Site145,17.45,78.45
146,Site146,17.46,78.46
147,Site147,17.47,78.47
148,Site148,17.48,78.48
149,Site149,17.49,78.49
150,Site150,17.5,78.5
151,Site151,17.51,78.51
152,Site152,17.52,78.52
153,Site153,17.53,78.53
154,Site154,17.54,78.54
155,Site155,17.55,78.55
156,Site156,17.56,78.56
157,Site157,17.57,78.57
158,Site158,17.58,78.58
159,Site159,17.59,78.59
160,Site160,17.6,78.6
161,Site161,17.61,78.61
162,Site162,17.62,78.62
163,Site163,17.63,78.63
164,Site164,17.64,78.64
165,Site165,17.65,78.65
166,Site166,17.66,78.66
167,Site167,17.67,78.67
168,Site168,17.68,78.68
169,Site169,17.69,78.69
170,Site170,17.7,78.7
171,Site171,17.71,78.71
172,Site172,17.72,78.72
173,Site173,17.73,78.73
174,Site174,17.74,78.74
175,Site175,17.75,78.75
176,Site176,17.76,78.76
177,Site177,17.77,78.77
