state,district,district_key,baseline_score,baseline_available_metric_count,modified_score,modified_available_metric_count,scenario,score_delta,baseline_rank,modified_rank,rank_shift,abs_rank_shift
Andaman & Nicobar Islands,Nicobars,andaman nicobar islands|nicobars,64.24700480065017,14,63.78956854115858,15,S1_correlated_hwa,-0.45743625949159394,46.0,105.0,59.0,59.0
Andaman & Nicobar Islands,North and Middle Andaman,andaman nicobar islands|north and middle andaman,62.29957025934495,14,62.26680664408332,15,S1_correlated_hwa,-0.0327636152616293,108.0,167.0,59.0,59.0
Andaman & Nicobar Islands,South Andamans,andaman nicobar islands|south andamans,58.61648978879805,14,58.42926314045664,15,S1_correlated_hwa,-0.187226648341408,295.0,401.0,106.0,106.0
Andhra Pradesh,Alluri Sitharama Raju,andhra pradesh|alluri sitharama raju,53.5328221764709,14,54.72878416503959,15,S1_correlated_hwa,1.1959619885686905,584.0,585.0,1.0,1.0
Andhra Pradesh,Anakapalli,andhra pradesh|anakapalli,62.06273039757758,14,63.23371190616937,15,S1_correlated_hwa,1.1709815085917867,116.0,127.0,11.0,11.0
Andhra Pradesh,Anantapur,andhra pradesh|anantapur,62.31443896164073,14,63.67011851419219,15,S1_correlated_hwa,1.3556795525514573,106.0,109.0,3.0,3.0
Andhra Pradesh,Annamayya,andhra pradesh|annamayya,57.54116154999696,14,58.88800350802478,15,S1_correlated_hwa,1.3468419580278237,364.0,376.0,12.0,12.0
Andhra Pradesh,Bapatla,andhra pradesh|bapatla,63.53267158259229,14,65.11629055634945,15,S1_correlated_hwa,1.5836189737571615,62.0,53.0,-9.0,9.0
Andhra Pradesh,Chittoor,andhra pradesh|chittoor,56.03361972535438,14,57.252877259448006,15,S1_correlated_hwa,1.2192575340936287,462.0,479.0,17.0,17.0
Andhra Pradesh,East Godavari,andhra pradesh|east godavari,63.51850909499242,14,64.85294654831033,15,S1_correlated_hwa,1.3344374533179106,64.0,59.0,-5.0,5.0
Andhra Pradesh,Eluru,andhra pradesh|eluru,61.75378063456978,14,63.161022403995524,15,S1_correlated_hwa,1.4072417694257453,136.0,131.0,-5.0,5.0
Andhra Pradesh,Guntur,andhra pradesh|guntur,62.23312261952214,14,63.79265623412444,15,S1_correlated_hwa,1.5595336146023016,112.0,104.0,-8.0,8.0
